ID,Immagine,Titolo,Descrizione,Anno di collocazione,Autrice/autore,Crediti fotografici,Crediti fotografici link,Tipologia personaggio,Latitude,Longitude,
11,https://github.com/dersuchendee/Mappa_immagini/blob/main/11.jpg?raw=true,Busto di Colomba Antonietti,"Patriota (1826 -1849), ricordata anche in un monumento a Bastia Umbra. Morì giovane nell'assedio di Porta San Pancrazio a Roma. È l’unica donna rappresentata sul colle Gianicolo su 228 busti dedicati ai patrioti dei Risorgimento. ",1911,/,"di Transferred from it.wikipedia; transferred to Commons by User:Fradeve11 using CommonsHelper., Pubblico dominio",https://commons.wikimedia.org/w/index.php?curid=5917121,Personaggio realmente esistito,"41,8935924","12,4605683",
12,https://github.com/dersuchendee/Mappa_immagini/blob/main/12.jpg?raw=true,Busto di Grazia Deledda,"Scrittrice e premio Nobel (1871-1936), viene ricordata in uno dei busti sul colle del Pincio dedicati a personaggi illustri. È una delle 3 donne rappresentate sul colle su 229 busti totali (le altre sono Vittoria Colonna e santa Caterina da Siena). ",1947,Amalia Camboni,"Lalupa, CC BY-SA 4.0, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Pincio_-_busti_-_Deledda_P1080984.jpg,Personaggio realmente esistito,"41,9108653","12,4799814",
13,https://github.com/dersuchendee/Mappa_immagini/blob/main/13.JPG?raw=true,Busto di Santa Caterina da Siena,"Patrona d’Italia (1347-1380), viene ricordata in uno dei busti sul colle del Pincio dedicati a personaggi illustri. È una delle 3 donne rappresentate sul colle su 229 busti totali (le altre sono Vittoria Colonna e Grazia Deledda). ",1927,Arturo Viligiardi,"Lalupa, CC BY-SA 4.0, attraverso Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Pincio_-_busti_-_s_Caterina_1250002.JPG,Personaggio realmente esistito,"41,9110854","12,4808187",
14,https://github.com/dersuchendee/Mappa_immagini/blob/main/14.jpg?raw=true,Madre,Collocata nel quartiere romano Acilia dove c’è anche un parco dedicato all’artista. Sul basamento è incisa una poesia di Ungaretti.,/,Giacomo Manzù,,"https://www.google.it/maps/@41.77859,12.3573573,3a,15y,166.8h,88.41t/data=!3m6!1e1!3m4!1snC-XX23jFprwOtanLiN-Yg!2e0!7i16384!8i8192",Figura anonima collettiva,"41,7786194","12,3574805",
15,https://github.com/dersuchendee/Mappa_immagini/blob/main/15.jpg?raw=true,Busto di Anita Garibaldi,Celebra Ana Maria de Jesus Ribeiro da Silva (1821-1849). Già oggetto di atti vandalici.,2019,Luca Rampazzi,,http://www.frontierarieti.com/rl_gallery/170-anniversario-della-repubblica-romana-inaugurazione-del-busto-di-anita-garibaldi/,Personaggio realmente esistito,"42,410266","12,854351",
16,https://github.com/dersuchendee/Mappa_immagini/blob/main/16.jpg?raw=true,Busto di Maria de Mattias,"Fondatrice della congregazione delle Suore Adoratrici del Sangue di Cristo (1805-1866), dedicò la vita all’insegnamento. Santificata nel 2003, stesso anno in cui le è stato dedicato questo busto.",2003,Gabriele Jagnocco,,http://www.chieracostui.com/costui/docs/search/schedaoltre.asp?ID=17232&myword=mattias,Personaggio realmente esistito,"41,2995153","13,0258013",
17,https://github.com/dersuchendee/Mappa_immagini/blob/main/17.jpg?raw=true,Busto di Sabina Santilli,"Attivista per i diritti dei sordociechi e dei pluriminorati psicosensoriali, fondatrice della Lega del filo d'oro (1917-1999). È ricordata nella piazza a lei dedicata nel suo paese, nel cinquantesimo anniversario dell'associazione.",2005,Vincenzo Trinchino,"di Marica Massaro - Opera propria, CC BY-SA 4.0",https://commons.wikimedia.org/w/index.php?curid=69844747,Personaggio realmente esistito,"42,0056792","13,6244587",
18,https://github.com/dersuchendee/Mappa_immagini/blob/main/18.jpg?raw=true,Busto di Santina Campana,"Giovane che non riuscì a prendere i voti per gravi problemi di salute (1929-1950). È in corso il processo di beatificazione. Il busto, voluto dal Gruppo Escursioni Pescina, la ricorda nel paese in cui morì e riprende la posa di una sua fotografia.",2000,/,,http://www.chieracostui.com/costui/docs/search/schedaoltre.asp?ID=15662,Personaggio realmente esistito,"42,0241691","13,6462254",
19,https://github.com/dersuchendee/Mappa_immagini/blob/main/19.jpg?raw=true,Busto di Caterina Bixio,"Pescivendola (1871-1949), esempio di “bontà e fierezza popolana”. L’opera è dono dell’autore che era solito trascorrere le estati a Sestri Levante. L’iscrizione precisa “e in lei Sestri onora le sue donne operose, figlie della marina, madri di marinai”.",1957,Francesco Messina,,https://www.lucadea.com/2018/05/31/il-busto-di-caterina-bixio-a-sestri-levante/,Personaggio realmente esistito,"44,271038","9,3946809",
20,https://github.com/dersuchendee/Mappa_immagini/blob/main/20.jpg?raw=true,Busto di Mariannina Coffa,"Poetessa (1841-1878), ricordata nella città in cui nacque, trascorse la giovinezza e morì rifiutata dai parenti.",1896,/,,http://www.chieracostui.com/costui/docs/search/schedaoltre.asp?ID=1895&myword=coffa,Personaggio realmente esistito,"36,8914054","15,0679573",
21,https://github.com/dersuchendee/Mappa_immagini/blob/main/21.jpg?raw=true,Busto di Elisabetta di Savoia [Elisabetta di Sassonia],"Principessa di Sassonia e duchessa di Genova dal 1850, è nota come Elisabetta di Sassonia (1830 -1912), anche se nell’iscrizione è ricordata col cognome del primo marito. È celebrata nel comune dove visse gli ultimi cinquant’anni della sua vita.",1930,/,Mi Riconosci,,Personaggio realmente esistito,"45,8843448","8,5384855",
22,https://github.com/dersuchendee/Mappa_immagini/blob/main/22.jpg?raw=true,Bagnante,Posta su uno scoglio in mezzo al mare.,1979,Aldo D'Adamo,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/53/ec/48/la-bagnante.jpg?w=1000&h=-1&s=1,Figura anonima collettiva,"42,1253","14,7068",
23,https://github.com/dersuchendee/Mappa_immagini/blob/main/23.jpg?raw=true,Maria Teresa Gentile,Ragazzina (1965-1977) che morì per un attacco cardiaco quando vide il cagnolino con cui era solita giocare catturato dall'accalappiacani comunale. Ricordata nel paese natale.,1984,/,,http://abruzzoforteegentile.altervista.org/maria-teresa-gentile-una-foto-in-bianco-e-nero-e-un-cuore-spezzato/oznor/,Personaggio realmente esistito,"42,0527876","13,9278132",
24,https://github.com/dersuchendee/Mappa_immagini/blob/main/24.jpg?raw=true,Donna di Scanno,Donna con l’abito tradizionale di Scanno.,2006,Alessandro D’Antonio,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/21/ea/ce/visione-integrale-della.jpg?w=1100&h=-1&s=1,Figura anonima collettiva,"41,9028253","13,8785508",
25,https://github.com/dersuchendee/Mappa_immagini/blob/main/25.jpg?raw=true,Fontana dell’Amore,"Opera nostalgica voluta dall’amministrazione per raccontare come corteggiavano gli “abitanti più anziani degli antichi rioni”, come precisa il sito del Comune di Matera. Finanziato con i fondi del Ministero dei Beni Culturali per la cifra di 160 mila euro.",2020,"progetto di Enzo Viti e Teresa Lupo, realizzazione Domenico Sepe",,https://magazinepragma.com/viaggi/innamorarsi-a-matera-innamorarsi-di-matera/,Gruppo di figure anonime collettive,"40,6653442","16,6114515",
26,https://github.com/dersuchendee/Mappa_immagini/blob/main/26.jpg?raw=true,Monumento a Mia Martini,Dedicato alla cantante (1947-1995) nel suo paese natale.,1996 ca.,/,Mi Riconosci,,Personaggio realmente esistito,"38,2994208","15,8133718",
27,https://github.com/dersuchendee/Mappa_immagini/blob/main/27.jpg?raw=true,Monumento alla Bagnarota,"Dedicato alle donne di Bagnara Calabra e al loro duro lavoro. L’iscrizione ne chiarisce le caratteristiche:
http://www.chieracostui.com/costui/docs/search/schedaoltre.asp?ID=21205&myword=bagnara",1997,Silvio Amelio,"foto di Jacopo Werther, CC BY-SA 3.0",https://commons.wikimedia.org/wiki/File:Monumento_alla_Bagnarota_-_Bagnara_Calabra_(Reggio_Calabria)_-_Italy_-_18_Oct._2014_-_(2).jpg#/media/File:Monumento_alla_Bagnarota_-_Bagnara_Calabra_(Reggio_Calabria)_-_Italy_-_18_Oct._2014_-_(2).jpg,Figura anonima collettiva,"38,2855433","15,801644",
28,https://github.com/dersuchendee/Mappa_immagini/blob/main/28.jpg?raw=true,Monumento a Nosside,Dedicato alla poetessa greca di età ellenistica nel luogo che le diede i natali.,2000,Tony Custureri,"Autore foto: Horcrux at Italian Wikipedia, Public domain, via Wikimedia Commons",,Personaggio realmente esistito,"38,2344759","16,2677734",
29,https://github.com/dersuchendee/Mappa_immagini/blob/main/29.jpg?raw=true,Vienna da Fuscaldo,"Dedicata nel suo paese d’origine alla madre di san Francesco di Paola (1416-1507), raffigurato bambino insieme a lei.",2008,Maurizio Carnevali,,https://www.quicosenza.it/news/wp-content/uploads/2020/05/csfuscaldo1-207x400.jpg,Personaggio realmente esistito,"39,3595467","16,0416919",
30,https://github.com/dersuchendee/Mappa_immagini/blob/main/30.jpg?raw=true,Cilla,"La leggenda vuole che Cilla, nota per la sua bellezza, abbia perso il suo amato Tuturo in mare.",2016,Salvatore Plastina,,http://viviamolacalabria.blogspot.com/2017/08/san-lucido-cs-la-leggenda-della-bella.html,Personaggio letterario o leggendario,"39,3063159","16,0479565",
31,https://github.com/dersuchendee/Mappa_immagini/blob/main/31.jpeg?raw=true,Spigolatrice,"Personaggio della poesia di Luigi Mercantini del 1868, La spigolatrice di Sapri, ispirata alla spedizione di Carlo Pisacane.
Si può vedere dalla SS 18 Tirrena inferiore.",1994,Gennaro Ricco,"Di Riccardo Pesce - Opera propria, CC BY-SA 3.0",https://commons.wikimedia.org/w/index.php?curid=11214574,Personaggio letterario o leggendario,"40,0739027","15,6281782",
32,https://github.com/dersuchendee/Mappa_immagini/blob/main/32.jpg?raw=true,Spigolatrice,"Personaggio della poesia di Luigi Mercantini del 1868, La spigolatrice di Sapri, ispirata alla spedizione di Carlo Pisacane. Commissionata dalla Fondazione Grande Lucania, già dall’inaugurazione è stata oggetto di molte critiche perché ritenuta sessualizzata.",2021,Emanuele Stifano,,https://napoli.repubblica.it/cronaca/2021/09/28/news/la_spigolatrice_versione_hot_cominciano_i_selfie_con_una_mano_sul_lato_b_della_scultura-319769085/,Personaggio letterario o leggendario,"40,0758834","15,6292799",
33,https://github.com/dersuchendee/Mappa_immagini/blob/main/33.jpg?raw=true,Solfatrice,Più che ricordare la categoria professionale omaggia l’autore originario di Forio (è una riproduzione in bronzo di una sua opera in marmo del 1882).,2017,Giovanni Maltese ,,http://www.ischiablog.it/index.php/attualita-e-notizie/forio-inaugurata-la-solfatrice-in-piazza-medaglie-doro/,Figura anonima collettiva,"40,8505641","14,2308313",
34,https://github.com/dersuchendee/Mappa_immagini/blob/main/34.jpg?raw=true,Monumento alle stambaie,"In memoria delle dodici lavoratrici che il 1° giugno del 1867 persero la vita nelle acque di Cala del Marcellino a causa del naufragio dii un piccolo gozzo carico di spartea, erba che veniva utilizzata per realizzare le corde.",2019,Antonio Lucio Correale,,https://www.incamerota.it/pois/dettaglio/statua-delle-strambaie,Figura anonima collettiva,"40,0003712","15,3751694",
35,https://github.com/dersuchendee/Mappa_immagini/blob/main/35.jpg?raw=true,Canapina,"Lavoratrice della canapa, donata dall’autore.",2007,Carmine d’Ambrosio,"PhotoNp, CC BY-SA 4.0, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Canapina.jpg,Figura anonima collettiva,"40,9448391","14,2749975",
36,https://github.com/dersuchendee/Mappa_immagini/blob/main/36.jpg?raw=true,Santa Barbara,"Santa protettrice di chi affronta il pericolo, il fuoco e gli esplosivi e quindi di vigili del fuoco, marina militare, artificieri, artiglieri, minatori, architetti… è collocata nel piazzale dell’alzabandiera. ",1979,/,,https://www.pietredellamemoria.it/pietre/cippo-con-santa-barbara-21-genio-guastatori-caserta/,Personaggio realmente esistito,"41,0817406","14,3327383",
37,https://github.com/dersuchendee/Mappa_immagini/blob/main/37.jpg?raw=true,Monumento alle mondine e agli scariolanti,"Ricorda i primi moti bracciantili e le rivendicazioni delle mondine, inaugurato nel centenario dell’eccidio del 1890.",1990,Luciano Caldari,,https://www.bassaromagnamia.it/poitofintrests/monumento-alle-mondine-e-agli-scariolanti/,Gruppo di figure anonime collettive,"44,507962","11,8257239",
38,https://github.com/dersuchendee/Mappa_immagini/blob/main/38.jpg?raw=true,Monumento alle mondine,"Ricorda la tragedia di Rio Boffalora del 6 ottobre 1956 in cui morirono 12 persone, intende anche omaggiare le 250 mila lavoratrici e lavoratori che svolgevano questo mestiere durissimo. Il progetto è di una studentessa del Liceo artistico Cassinari, vincitrice di un concorso che ha coinvolto le scuole.",2020,"progetto di Chiara Donetti, coordinamento Ferruccio Carra",,https://www.piacenzasera.it/2020/10/inaugurato-monumento-dedicato-alle-mondine-ricordiamo-il-loro-sacrificio/358094/,Figura anonima collettiva,"45,019398","9,6772578",
39,https://github.com/dersuchendee/Mappa_immagini/blob/main/39.jpg?raw=true,Garibaldi e Anita in fuga attraverso le valli di Comacchio,Ricordati durante la fuga da austriaci e papalini nelle valli di Comacchio nell’agosto 1849.,2011,Nicola Zamboni e Sara Bolzani,,http://rete.comuni-italiani.it/foto/contest/75921,Personaggio realmente esistito,"44,678074","12,2412822",
40,https://github.com/dersuchendee/Mappa_immagini/blob/main/40.jpg?raw=true,Mondine al lavoro,Collocate al centro di una rotonda.,2007,Nicola Zamboni e Sara Bolzani,"Nicola Quirico, CC BY-SA 4.0, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Rotonda_delle_Mondine_(San_Pietro_in_Casale)_07.jpg,Figura anonima collettiva,"44,7421523","11,450564",
41,https://github.com/dersuchendee/Mappa_immagini/blob/main/41.jpg?raw=true,Mondine in bicicletta,Gruppo di mondine che si reca a lavoro in bicicletta.,2003,Nicola Zamboni e Sara Bolzani,,https://www.bibliotecasalaborsa.it/cronologia/bologna/1995/nicola_zamboni_e_sara_bolzani_scultori_sociali#top,Figura anonima collettiva,"44,6338974","11,4162574",
42,https://github.com/dersuchendee/Mappa_immagini/blob/main/42.jpg?raw=true,Lavandaie,"Due lavandaie sono raffigurate al lavoro nel lavatoio pubblico, altre tre figure si stanno avvicinando.",1998,Nicola Zamboni,Mi Riconosci,,Gruppo di figure anonime collettive,"44,6646386","11,1101558",
43,https://github.com/dersuchendee/Mappa_immagini/blob/main/43.jpg?raw=true,Bagnanti,Collocati al centro di una rotonda.,2017,/,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/61/7b/2b/scultura.jpg?w=1200&h=-1&s=1,Gruppo di figure anonime collettive,"44,1314225","12,4862338",
44,https://github.com/dersuchendee/Mappa_immagini/blob/main/44.JPG?raw=true,Lavandaia,Intende ricordare il duro lavoro delle lavandaie e al contempo le molestie che subivano dai passanti. Collocata nei pressi del lavatoio attivo nel XIX di cui non resta traccia (il canale è stato coperto).,2000,Saura Sermenghi,Mi Riconosci,,Figura anonima collettiva,"44,4979285","11,3309624",
45,https://github.com/dersuchendee/Mappa_immagini/blob/main/45.jpg?raw=true,Monumento al Partigiano e alla Partigiana,Realizzato nel dopoguerra con bronzo ricavato dalla fusione di una statua equestre di Mussolini.,1947,Luciano Minguzzi,,https://italianiinguerra.wordpress.com/2018/11/07/bologna-7-novembre-1944-la-battaglia-di-porta-lame/,Gruppo di figure anonime collettive,"44,5023536","11,3332961",
46,https://github.com/dersuchendee/Mappa_immagini/blob/main/46.jpg?raw=true,Monumento alle Cadute partigiane,Iniziato in 1975 è stato implementato fino al 2015 nell’ambito di progetti con le scuole bolognesi. Alcune parti che lo compongono sono state realizzate con materiali deperibili con l’intenzione di rinnovarlo nel tempo per mantenere viva la memoria.,1975,"Letizia Gelli, Gian Paolo Mazzucato",,https://www.pietredellamemoria.it/pietre/monumento-alle-donne-partigiane-bolognesi-nel-parco-di-villa-spada-bologna/,Figura anonima collettiva,"44,4871011","11,3139469",
47,https://github.com/dersuchendee/Mappa_immagini/blob/main/47.jpg?raw=true,Monumento a Elisabetta Farnese,"Principessa di Parma e Piacenza ultima discendente dei Farnese (1692-1766), diventa regina di Spagna sposando Filippo V di Borbone. Ricordata nella città natale dove visse fino al matrimonio.",1721,Giuliano Mozzani,,http://www.chieracostui.com/costui/docs/search/schedaoltre.asp?ID=5235&myword=elisabetta,Personaggio realmente esistito,"44,4899739","9,7682402",
48,https://github.com/dersuchendee/Mappa_immagini/blob/main/48.jpg?raw=true,"Violata
""In onore di tutte le donne vittime di violenza""","Posta all’imbocco di una galleria stradale, intende omaggiare le donne vittima di violenza. Oggetto di diverse contestazioni, anche recenti, e di petizioni che ne hanno chiesto la rimozione. ",2013,Floriano Ippoliti,,https://www.change.org/p/comune-di-ancona-commissione-pari-opportunita-regione-marche-ricollocazione-della-statua-violata,Altro,"43,616018","13,5066164",
49,https://github.com/dersuchendee/Mappa_immagini/blob/main/49.jpg?raw=true,Monumento a Valente Faustini,"Omaggia il poeta dialettale Valente Faustini (1858-1922) nella città natale, con lui è raffigurata Batusa, operaia della fabbrica di bottoni a cui dedicò dei versi.",1930,Oreste Labò,,http://www.chieracostui.com/costui/docs/search/schedaoltre.asp?ID=3266,Personaggio letterario o leggendario,"45,0514363","9,7033952",
50,https://github.com/dersuchendee/Mappa_immagini/blob/main/50.jpg?raw=true,Maria Boorman Ceccarini,"Benefattrice (1840-1903), ricordata nel comune in cui fece molte opere filantropiche.",2012,Leonardo Lucchi,,https://it.worldorgs.com/Catalogare/riccione/attrazione-turistica/statua-di-maria-boorman-ceccarini,Personaggio realmente esistito,"44,0007601","12,6582073","https://www.google.com/maps/@42.93622,13.691497,3a,75y,255.6h,90t/data=!3m11!1e2!3m9!1sAF1QipM1YOkXWe9syDlTKA53cPBR6TkCnbLuxOmSWzlb!2e10!3e12!6shttps:%2F%2Flh5.googleusercontent.com%2Fp%2FAF1QipM1YOkXWe9syDlTKA53cPBR6TkCnbLuxOmSWzlb%3Dw203-h152-k-no!7i4128!8i3096!9m2!1b1!2i47?hl=it-IT"
51,https://github.com/dersuchendee/Mappa_immagini/blob/main/51.jpg?raw=true,Sposa del marinaio,Donna con un bambino che indica il mare. L’iscrizione precisa “per ricordare le donne che sulle banchine del porto aspettavano i loro uomini tornare dal lavoro e dal mare per non dimenticare quelli che non sono tornati”.,2011,Umberto Corsucci,,https://www.hotelcorallorimini.com/it/blog/cultura/la-sposa-del-marinaio-monumenti-allaperto-di-rimini-parte-prima/,Figura anonima collettiva,"44,0814628","12,5763711",
52,https://github.com/dersuchendee/Mappa_immagini/blob/main/52.jpg?raw=true,Mamma,"Donata dalla famiglia Saccone, nella targa è riportata una poesia di Federico Saccone.",2001,Tonino Scuccimarra,,http://www.chieracostui.com/costui/docs/search/schedaoltre.asp?ID=22424&myword=donna,Figura anonima collettiva,"42,2579669","12,1732558",
53,https://github.com/dersuchendee/Mappa_immagini/blob/main/53.jpg?raw=true,Monumento a Grazia Deledda,"Ricorda la scrittrice (1871-1936) nel comune in cui trascorse diverse estati. Non rappresenta Deledda, ma una portatrice d’acqua sarda e una pescivendola romagnola.",1956,Angelo Biancini,,https://www.turismo.comunecervia.it/it/scopri-il-territorio/arte-e-cultura/opere-artistiche/monumento-a-grazia-deledda#null,Personaggio realmente esistito,"44,2555259","12,3625096",
54,https://github.com/dersuchendee/Mappa_immagini/blob/main/54.jpg?raw=true,Madre,Nelle intenzioni dell’autore rappresenta “una sorta di fonte di vita naturale”.,2020,Guy Lydster ,Mi Riconosci,,Figura anonima collettiva,"44,4839964","11,3522566",
55,https://github.com/dersuchendee/Mappa_immagini/blob/main/55.jpeg?raw=true,Maestrine d’Italia,"Il sito del comune precisa che è dedicata “alle giovani maestre che con coraggio e molta energia, dalla seconda metà dell'Ottocento, portarono l'insegnamento della lingua nelle località più sperdute d'Italia contribuendo così a combattere l'analfabetismo e favorendo l'emancipazione”.",2015,Alessandro Romano,,https://turismo.comune.re.it/immagini-per-italiano-e-inglese/scopri-il-territorio/arte-e-cultura/img-monumenti-alla-memoria/monumento-dedicato-alle-maestrine-ditalia/view,Figura anonima collettiva,"44,6951024","10,6265981","https://www.google.it/maps/@42.0527616,13.9299765,3a,60y,156.07h,77.05t/data=!3m6!1e1!3m4!1s7jcJRyi8qohTGmR61phiiQ!2e0!7i16384!8i8192"
56,https://github.com/dersuchendee/Mappa_immagini/blob/main/56.jpg?raw=true,La Mà (la madre),Rivolta verso il porto in attesa del rientro del marito marinaio con i due figli.,2014 ca.,Quinto Pagliarani,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/c8/06/a7/paricolare-statua.jpg?w=1200&h=-1&s=1,Figura anonima collettiva,"44,2066615","12,4010532",
57,https://github.com/dersuchendee/Mappa_immagini/blob/main/57.jpg?raw=true,Monumento alle Portatrici Carniche,"Ricorda le donne della Carnia e delle valli nelle Alpi Giulie che rifornivano gli uomini sul fronte alpino di cibo e materiale bellico, trasportandoli con pesanti gerle. In particolare è dedicato a Maria Plozner, uccisa da un cecchino austriaco il 15 febbraio 1916.",1992,Antonio Tinaglia,,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ee/05/3b/monumento-dedicato-a.jpg?w=1200&h=-1&s=1,Figura anonima collettiva,"46,5828429","13,004469",
58,https://github.com/dersuchendee/Mappa_immagini/blob/main/58.jpg?raw=true,Monumento ad Elisabetta d’Austria,Ricollocato nel 1997 dopo che nel 1921 era stato posto in magazzino. Eretto dietro spontanea sottoscrizione popolare con una raccolta di fondi della cittadinanza che portò le 5 mila corone offerte dal Comune di Trieste a 100 mila.,1912,Franz Seifert,,https://media-cdn.tripadvisor.com/media/photo-s/0a/ed/5a/72/statua-di-sissi-in-piazza.jpg,Personaggio realmente esistito,"45,6568424","13,7716996",
59,https://github.com/dersuchendee/Mappa_immagini/blob/main/59.jpg?raw=true,Le Ragazze di Trieste e i Bersaglieri,"Ricorda lo sbarco dei bersaglieri avvenuto il 3 novembre 1918. Collocato sul molo, si compone di un bersagliere che sale le scale e due ragazze sedute che cuciono la bandiera tricolore.",2004,Todi Fiorenzo Bacci,,http://www.chieracostui.com/costui/docs/search/schedaoltre.asp?ID=2052&myword=bersagliere,Gruppo di figure anonime collettive,"45,6502617","13,7681373",
60,https://github.com/dersuchendee/Mappa_immagini/blob/main/60.jpg?raw=true,Monumento ad Adelaide Ristori,"Dedicato all’attrice teatrale (1822-1906) nel suo paese natale. È ritratta nelle vesti di Medea, uno dei personaggi che interpretò.",1913,Antonio Maraini,"Tiesse, CC0, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Cividale_3.3.2012.JPG,Personaggio realmente esistito,"46,0928877","13,429463","https://www.google.com/maps/place/Statua+Della+Regina+Margherita/@43.7781203,7.6635766,14z/data=!4m9!1m2!2m1!1sstatua+margherita+di+savoia18012+Bordighera+IM!3m5!1s0x12cdf3c1a56f23b5:0xe9371cfead7eb297!8m2!3d43.7781184!4d7.673987!15sCi9zdGF0dWEgbWFyZ2hlcml0YSBkaSBzYXZvaWEgMTgwMTIgQm9yZGlnaGVyYSBJTZIBEnRvdXJpc3RfYXR0cmFjdGlvbg"
61,https://github.com/dersuchendee/Mappa_immagini/blob/main/61.jpg?raw=true,Mula di Trieste,"Ragazza molto giovane collocata su uno scoglio, nota anche come “sirenetta”.",2005,Nino Spagnoli,"Kaethe17, CC BY-SA 4.0, via Wikimedia Commons",https://commons.wikimedia.org/wiki/File:Mula-de-trieste-2020.jpg,Figura anonima collettiva,"45,705085","13,7165553",
